SOC_cap_end,OCV_true_poly9_V,V_start,V_end,OCVinf_grid_V,SOC_anchor_grid,OCVinf_ecm_V,SOC_anchor_ecm,Mean Error ECM(%),,,,,,,,,,,,,,,err_OCVinf_grid_minus_true_poly_mV,err_OCVinf_ecm_minus_true_poly_mV
0.899685823,4.081305594,4.0232,4.0714,4.075163923,0.88282319,4.0854,0.910584257,1.089843,,,,,,,,,,,,,,,-6.14167041,4.094406253
0.799297454,4.041916405,3.9831,4.0272,4.0310658,0.772638761,4.03672062,0.786713056,1.25844,,,,,,,,,,,,,,,-10.85060551,-5.195785532
0.699084177,4.00687505,3.951,3.9991,4.007461111,0.701362945,3.996507709,0.65002549,4.905869,,,,,,,,,,,,,,,0.5860619,-10.36734066
0.599007413,3.988032957,3.9148,3.971,3.977390198,0.547032961,3.97894087,0.553344982,4.566243,,,,,,,,,,,,,,,-10.64275948,-9.092087445
0.498849533,3.962205263,3.8787,3.9389,3.946243055,0.462126867,3.9529,0.476410109,2.243942,,,,,,,,,,,,,,,-15.96220719,-9.305262608
0.398677804,3.911248444,3.8466,3.9028,3.906512762,0.390789357,3.9128,0.401277834,0.260003,,,,,,,,,,,,,,,-4.735682495,1.551555624
0.298292403,3.854164017,3.8064,3.8546,3.859835595,0.309721256,3.8646,0.318867715,2.057531,,,,,,,,,,,,,,,5.671578335,10.43598304
0.198283895,3.815421277,3.7542,3.7944,3.805511973,0.175428042,3.8084,0.181470254,1.681364,,,,,,,,,,,,,,,-9.90930379,-7.021276832
0.097997416,3.726263277,3.69,3.7502,3.749822614,0.112281417,3.7602,0.119887049,2.188963,,,,,,,,,,,,,,,23.55933702,33.93672269
0.047997119,3.584729507,3.5535,3.5976,3.605195156,0.053288445,3.607687245,0.053954258,0.595714,,,,,,,,,,,,,,,20.46564855,22.95773762
,,,,,,,,MAE (%): 2.08479129,,,,,,,,,,,,,,,,
