time_s,voltage_V,current_A,soc_k,soc_c,state,timestamp
0.0,3.932,-0.0,0.488,0.4,CHG,2026-01-19 22:59:01.075
0.003,3.932,-0.0,0.488,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.928,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.924,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.932,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.932,0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.932,0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.932,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.936,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.936,0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.932,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.003,3.932,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.078
0.217,3.932,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:01.292
1.226,3.928,-0.0,0.48700000000000004,0.4,CHG,2026-01-19 22:59:02.301
3.8,3.936,-0.0,0.495,0.4,CHG,2026-01-19 22:59:04.875
4.805,3.928,0.0,0.49200000000000005,0.4,CHG,2026-01-19 22:59:05.880
5.81,3.928,-0.0,0.491,0.4,CHG,2026-01-19 22:59:06.885
11.504,3.928,-0.0,0.49,0.4,DIS,2026-01-19 22:59:12.579
13.015,3.976,0.573,0.489,0.4,CHG,2026-01-19 22:59:14.090
14.015,3.976,0.573,0.488,0.4,CHG,2026-01-19 22:59:15.090
15.017,3.976,0.573,0.48700000000000004,0.4,CHG,2026-01-19 22:59:16.092
16.02,3.976,0.573,0.48700000000000004,0.401,CHG,2026-01-19 22:59:17.095
17.011,3.976,0.573,0.486,0.401,CHG,2026-01-19 22:59:18.086
18.015,3.98,0.573,0.486,0.401,CHG,2026-01-19 22:59:19.090
19.022,3.976,0.573,0.486,0.401,CHG,2026-01-19 22:59:20.097
20.03,3.98,0.574,0.486,0.401,CHG,2026-01-19 22:59:21.105
21.02,3.98,0.573,0.486,0.401,CHG,2026-01-19 22:59:22.095
22.027,3.98,0.574,0.486,0.401,CHG,2026-01-19 22:59:23.102
23.033,3.984,0.573,0.486,0.402,CHG,2026-01-19 22:59:24.108
24.025,3.984,0.573,0.486,0.402,CHG,2026-01-19 22:59:25.100
25.028,3.98,0.573,0.486,0.402,CHG,2026-01-19 22:59:26.103
26.035,3.98,0.573,0.486,0.402,CHG,2026-01-19 22:59:27.110
31.377,3.936,-0.0,0.495,0.4,DIS,2026-01-19 22:59:32.452
33.033,3.984,0.573,0.49200000000000005,0.4,CHG,2026-01-19 22:59:34.108
34.04,3.98,0.573,0.49,0.4,CHG,2026-01-19 22:59:35.115
35.048,3.98,0.573,0.489,0.4,CHG,2026-01-19 22:59:36.123
36.04,3.984,0.574,0.488,0.401,CHG,2026-01-19 22:59:37.115
37.04,3.98,0.573,0.488,0.401,CHG,2026-01-19 22:59:38.115
38.049,3.984,0.573,0.48700000000000004,0.401,CHG,2026-01-19 22:59:39.124
39.05,3.988,0.573,0.488,0.401,CHG,2026-01-19 22:59:40.125
40.053,3.984,0.573,0.48700000000000004,0.401,CHG,2026-01-19 22:59:41.128
41.046,3.984,0.573,0.48700000000000004,0.401,CHG,2026-01-19 22:59:42.121
42.056,3.984,0.573,0.48700000000000004,0.401,CHG,2026-01-19 22:59:43.131
43.053,3.984,0.574,0.48700000000000004,0.402,CHG,2026-01-19 22:59:44.128
44.051,3.988,0.573,0.48700000000000004,0.402,CHG,2026-01-19 22:59:45.126
45.069,3.988,0.573,0.488,0.402,CHG,2026-01-19 22:59:46.144
46.07,3.988,0.574,0.488,0.402,CHG,2026-01-19 22:59:47.145
47.06,3.988,0.574,0.488,0.402,CHG,2026-01-19 22:59:48.135
48.065,3.984,0.573,0.488,0.402,CHG,2026-01-19 22:59:49.140
49.072,3.984,0.573,0.488,0.402,CHG,2026-01-19 22:59:50.147
50.079,3.988,0.573,0.488,0.402,CHG,2026-01-19 22:59:51.154
51.07,3.988,0.573,0.488,0.40299999999999997,CHG,2026-01-19 22:59:52.145
52.074,3.992,0.573,0.488,0.40299999999999997,CHG,2026-01-19 22:59:53.149
53.076,3.988,0.573,0.488,0.40299999999999997,CHG,2026-01-19 22:59:54.151
54.078,3.988,0.573,0.488,0.40299999999999997,CHG,2026-01-19 22:59:55.153
55.081,3.992,0.573,0.488,0.40299999999999997,CHG,2026-01-19 22:59:56.156
56.086,3.992,0.574,0.489,0.40299999999999997,CHG,2026-01-19 22:59:57.161
57.088,3.992,0.574,0.489,0.40299999999999997,CHG,2026-01-19 22:59:58.163
58.093,3.992,0.573,0.489,0.40399999999999997,CHG,2026-01-19 22:59:59.168
59.082,3.988,0.574,0.489,0.40399999999999997,CHG,2026-01-19 23:00:00.157
60.087,3.992,0.574,0.489,0.40399999999999997,CHG,2026-01-19 23:00:01.162
61.093,3.988,0.574,0.489,0.40399999999999997,CHG,2026-01-19 23:00:02.168
62.099,3.992,0.573,0.489,0.40399999999999997,CHG,2026-01-19 23:00:03.174
63.093,3.988,0.573,0.489,0.40399999999999997,CHG,2026-01-19 23:00:04.168
64.099,3.992,0.574,0.489,0.40399999999999997,CHG,2026-01-19 23:00:05.174
65.102,3.988,0.573,0.489,0.40399999999999997,CHG,2026-01-19 23:00:06.177
66.106,3.992,0.573,0.489,0.405,CHG,2026-01-19 23:00:07.181
67.108,3.992,0.573,0.49,0.405,CHG,2026-01-19 23:00:08.183
68.1,3.992,0.574,0.49,0.405,CHG,2026-01-19 23:00:09.175
69.104,3.992,0.574,0.49,0.405,CHG,2026-01-19 23:00:10.179
70.113,3.992,0.574,0.49,0.405,CHG,2026-01-19 23:00:11.188
71.117,3.992,0.573,0.49,0.405,CHG,2026-01-19 23:00:12.192
72.108,3.996,0.574,0.49,0.405,CHG,2026-01-19 23:00:13.183
73.114,3.992,0.573,0.49,0.406,CHG,2026-01-19 23:00:14.189
74.119,3.996,0.574,0.49,0.406,CHG,2026-01-19 23:00:15.194
75.125,3.992,0.573,0.49,0.406,CHG,2026-01-19 23:00:16.200
76.131,3.996,0.574,0.491,0.406,CHG,2026-01-19 23:00:17.206
77.122,3.992,0.574,0.491,0.406,CHG,2026-01-19 23:00:18.197
78.128,3.992,0.573,0.491,0.406,CHG,2026-01-19 23:00:19.203
79.134,3.996,0.573,0.491,0.406,CHG,2026-01-19 23:00:20.209
80.126,3.996,0.573,0.491,0.406,CHG,2026-01-19 23:00:21.201
81.131,3.992,0.573,0.491,0.40700000000000003,CHG,2026-01-19 23:00:22.206
82.139,3.992,0.573,0.491,0.40700000000000003,CHG,2026-01-19 23:00:23.214
83.143,3.996,0.574,0.491,0.40700000000000003,CHG,2026-01-19 23:00:24.218
84.147,3.996,0.573,0.491,0.40700000000000003,CHG,2026-01-19 23:00:25.222
85.135,3.992,0.574,0.491,0.40700000000000003,CHG,2026-01-19 23:00:26.210
86.14,3.992,0.573,0.491,0.40700000000000003,CHG,2026-01-19 23:00:27.215
87.146,3.996,0.573,0.491,0.40700000000000003,CHG,2026-01-19 23:00:28.221
88.153,3.996,0.573,0.491,0.408,CHG,2026-01-19 23:00:29.228
89.143,4.0,0.573,0.49200000000000005,0.408,CHG,2026-01-19 23:00:30.218
90.149,3.992,0.573,0.49200000000000005,0.408,CHG,2026-01-19 23:00:31.224
91.153,3.996,0.573,0.49200000000000005,0.408,CHG,2026-01-19 23:00:32.228
92.16,3.996,0.574,0.49200000000000005,0.408,CHG,2026-01-19 23:00:33.235
93.153,3.996,0.574,0.49200000000000005,0.408,CHG,2026-01-19 23:00:34.228
94.154,3.996,0.574,0.49200000000000005,0.408,CHG,2026-01-19 23:00:35.229
95.161,3.996,0.574,0.49200000000000005,0.408,CHG,2026-01-19 23:00:36.236
96.165,3.996,0.574,0.49200000000000005,0.409,CHG,2026-01-19 23:00:37.240
97.172,4.0,0.574,0.49200000000000005,0.409,CHG,2026-01-19 23:00:38.247
98.163,3.996,0.573,0.49200000000000005,0.409,CHG,2026-01-19 23:00:39.238
99.168,3.996,0.573,0.49200000000000005,0.409,CHG,2026-01-19 23:00:40.243
100.174,3.996,0.573,0.49200000000000005,0.409,CHG,2026-01-19 23:00:41.249
101.181,4.0,0.573,0.49200000000000005,0.409,CHG,2026-01-19 23:00:42.256
102.171,3.996,0.573,0.49200000000000005,0.409,CHG,2026-01-19 23:00:43.246
103.175,3.996,0.574,0.493,0.41,CHG,2026-01-19 23:00:44.250
104.183,4.0,0.574,0.493,0.41,CHG,2026-01-19 23:00:45.258
105.174,3.996,0.574,0.493,0.41,CHG,2026-01-19 23:00:46.249
106.18,3.996,0.574,0.493,0.41,CHG,2026-01-19 23:00:47.255
107.188,4.0,0.574,0.493,0.41,CHG,2026-01-19 23:00:48.263
108.193,3.996,0.574,0.493,0.41,CHG,2026-01-19 23:00:49.268
109.186,3.996,0.573,0.493,0.41,CHG,2026-01-19 23:00:50.261
110.187,3.996,0.573,0.493,0.41,CHG,2026-01-19 23:00:51.262
111.196,3.996,0.574,0.493,0.41100000000000003,CHG,2026-01-19 23:00:52.271
112.198,4.0,0.574,0.493,0.41100000000000003,CHG,2026-01-19 23:00:53.273
113.201,3.996,0.574,0.493,0.41100000000000003,CHG,2026-01-19 23:00:54.276
114.203,3.996,0.574,0.493,0.41100000000000003,CHG,2026-01-19 23:00:55.278
115.207,3.996,0.574,0.493,0.41100000000000003,CHG,2026-01-19 23:00:56.282
116.209,4.0,0.573,0.493,0.41100000000000003,CHG,2026-01-19 23:00:57.284
