[2026-01-19 22:59:01.075] V:3.932 | I:-0.000 | Soc_k:48.8% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.932 | I:-0.000 | Soc_k:48.8% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.928 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.924 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.932 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.932 | I:0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.932 | I:0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.932 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.936 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.936 | I:0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.932 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.078] V:3.932 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:01.292] V:3.932 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:02.301] V:3.928 | I:-0.000 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:04.875] V:3.936 | I:-0.000 | Soc_k:49.5% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:05.880] V:3.928 | I:0.000 | Soc_k:49.2% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:06.885] V:3.928 | I:-0.000 | Soc_k:49.1% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:12.579] V:3.928 | I:-0.000 | Soc_k:49.0% | Soc_c:40.0% | state:DIS
[2026-01-19 22:59:14.090] V:3.976 | I:0.573 | Soc_k:48.9% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:15.090] V:3.976 | I:0.573 | Soc_k:48.8% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:16.092] V:3.976 | I:0.573 | Soc_k:48.7% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:17.095] V:3.976 | I:0.573 | Soc_k:48.7% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:18.086] V:3.976 | I:0.573 | Soc_k:48.6% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:19.090] V:3.980 | I:0.573 | Soc_k:48.6% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:20.097] V:3.976 | I:0.573 | Soc_k:48.6% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:21.105] V:3.980 | I:0.574 | Soc_k:48.6% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:22.095] V:3.980 | I:0.573 | Soc_k:48.6% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:23.102] V:3.980 | I:0.574 | Soc_k:48.6% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:24.108] V:3.984 | I:0.573 | Soc_k:48.6% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:25.100] V:3.984 | I:0.573 | Soc_k:48.6% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:26.103] V:3.980 | I:0.573 | Soc_k:48.6% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:27.110] V:3.980 | I:0.573 | Soc_k:48.6% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:32.452] V:3.936 | I:-0.000 | Soc_k:49.5% | Soc_c:40.0% | state:DIS
[2026-01-19 22:59:34.108] V:3.984 | I:0.573 | Soc_k:49.2% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:35.115] V:3.980 | I:0.573 | Soc_k:49.0% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:36.123] V:3.980 | I:0.573 | Soc_k:48.9% | Soc_c:40.0% | state:CHG
[2026-01-19 22:59:37.115] V:3.984 | I:0.574 | Soc_k:48.8% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:38.115] V:3.980 | I:0.573 | Soc_k:48.8% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:39.124] V:3.984 | I:0.573 | Soc_k:48.7% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:40.125] V:3.988 | I:0.573 | Soc_k:48.8% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:41.128] V:3.984 | I:0.573 | Soc_k:48.7% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:42.121] V:3.984 | I:0.573 | Soc_k:48.7% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:43.131] V:3.984 | I:0.573 | Soc_k:48.7% | Soc_c:40.1% | state:CHG
[2026-01-19 22:59:44.128] V:3.984 | I:0.574 | Soc_k:48.7% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:45.126] V:3.988 | I:0.573 | Soc_k:48.7% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:46.144] V:3.988 | I:0.573 | Soc_k:48.8% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:47.145] V:3.988 | I:0.574 | Soc_k:48.8% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:48.135] V:3.988 | I:0.574 | Soc_k:48.8% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:49.140] V:3.984 | I:0.573 | Soc_k:48.8% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:50.147] V:3.984 | I:0.573 | Soc_k:48.8% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:51.154] V:3.988 | I:0.573 | Soc_k:48.8% | Soc_c:40.2% | state:CHG
[2026-01-19 22:59:52.145] V:3.988 | I:0.573 | Soc_k:48.8% | Soc_c:40.3% | state:CHG
[2026-01-19 22:59:53.149] V:3.992 | I:0.573 | Soc_k:48.8% | Soc_c:40.3% | state:CHG
[2026-01-19 22:59:54.151] V:3.988 | I:0.573 | Soc_k:48.8% | Soc_c:40.3% | state:CHG
[2026-01-19 22:59:55.153] V:3.988 | I:0.573 | Soc_k:48.8% | Soc_c:40.3% | state:CHG
[2026-01-19 22:59:56.156] V:3.992 | I:0.573 | Soc_k:48.8% | Soc_c:40.3% | state:CHG
[2026-01-19 22:59:57.161] V:3.992 | I:0.574 | Soc_k:48.9% | Soc_c:40.3% | state:CHG
[2026-01-19 22:59:58.163] V:3.992 | I:0.574 | Soc_k:48.9% | Soc_c:40.3% | state:CHG
[2026-01-19 22:59:59.168] V:3.992 | I:0.573 | Soc_k:48.9% | Soc_c:40.4% | state:CHG
[2026-01-19 23:00:00.157] V:3.988 | I:0.574 | Soc_k:48.9% | Soc_c:40.4% | state:CHG
[2026-01-19 23:00:01.162] V:3.992 | I:0.574 | Soc_k:48.9% | Soc_c:40.4% | state:CHG
[2026-01-19 23:00:02.168] V:3.988 | I:0.574 | Soc_k:48.9% | Soc_c:40.4% | state:CHG
[2026-01-19 23:00:03.174] V:3.992 | I:0.573 | Soc_k:48.9% | Soc_c:40.4% | state:CHG
[2026-01-19 23:00:04.168] V:3.988 | I:0.573 | Soc_k:48.9% | Soc_c:40.4% | state:CHG
[2026-01-19 23:00:05.174] V:3.992 | I:0.574 | Soc_k:48.9% | Soc_c:40.4% | state:CHG
[2026-01-19 23:00:06.177] V:3.988 | I:0.573 | Soc_k:48.9% | Soc_c:40.4% | state:CHG
[2026-01-19 23:00:07.181] V:3.992 | I:0.573 | Soc_k:48.9% | Soc_c:40.5% | state:CHG
[2026-01-19 23:00:08.183] V:3.992 | I:0.573 | Soc_k:49.0% | Soc_c:40.5% | state:CHG
[2026-01-19 23:00:09.175] V:3.992 | I:0.574 | Soc_k:49.0% | Soc_c:40.5% | state:CHG
[2026-01-19 23:00:10.179] V:3.992 | I:0.574 | Soc_k:49.0% | Soc_c:40.5% | state:CHG
[2026-01-19 23:00:11.188] V:3.992 | I:0.574 | Soc_k:49.0% | Soc_c:40.5% | state:CHG
[2026-01-19 23:00:12.192] V:3.992 | I:0.573 | Soc_k:49.0% | Soc_c:40.5% | state:CHG
[2026-01-19 23:00:13.183] V:3.996 | I:0.574 | Soc_k:49.0% | Soc_c:40.5% | state:CHG
[2026-01-19 23:00:14.189] V:3.992 | I:0.573 | Soc_k:49.0% | Soc_c:40.6% | state:CHG
[2026-01-19 23:00:15.194] V:3.996 | I:0.574 | Soc_k:49.0% | Soc_c:40.6% | state:CHG
[2026-01-19 23:00:16.200] V:3.992 | I:0.573 | Soc_k:49.0% | Soc_c:40.6% | state:CHG
[2026-01-19 23:00:17.206] V:3.996 | I:0.574 | Soc_k:49.1% | Soc_c:40.6% | state:CHG
[2026-01-19 23:00:18.197] V:3.992 | I:0.574 | Soc_k:49.1% | Soc_c:40.6% | state:CHG
[2026-01-19 23:00:19.203] V:3.992 | I:0.573 | Soc_k:49.1% | Soc_c:40.6% | state:CHG
[2026-01-19 23:00:20.209] V:3.996 | I:0.573 | Soc_k:49.1% | Soc_c:40.6% | state:CHG
[2026-01-19 23:00:21.201] V:3.996 | I:0.573 | Soc_k:49.1% | Soc_c:40.6% | state:CHG
[2026-01-19 23:00:22.206] V:3.992 | I:0.573 | Soc_k:49.1% | Soc_c:40.7% | state:CHG
[2026-01-19 23:00:23.214] V:3.992 | I:0.573 | Soc_k:49.1% | Soc_c:40.7% | state:CHG
[2026-01-19 23:00:24.218] V:3.996 | I:0.574 | Soc_k:49.1% | Soc_c:40.7% | state:CHG
[2026-01-19 23:00:25.222] V:3.996 | I:0.573 | Soc_k:49.1% | Soc_c:40.7% | state:CHG
[2026-01-19 23:00:26.210] V:3.992 | I:0.574 | Soc_k:49.1% | Soc_c:40.7% | state:CHG
[2026-01-19 23:00:27.215] V:3.992 | I:0.573 | Soc_k:49.1% | Soc_c:40.7% | state:CHG
[2026-01-19 23:00:28.221] V:3.996 | I:0.573 | Soc_k:49.1% | Soc_c:40.7% | state:CHG
[2026-01-19 23:00:29.228] V:3.996 | I:0.573 | Soc_k:49.1% | Soc_c:40.8% | state:CHG
[2026-01-19 23:00:30.218] V:4.000 | I:0.573 | Soc_k:49.2% | Soc_c:40.8% | state:CHG
[2026-01-19 23:00:31.224] V:3.992 | I:0.573 | Soc_k:49.2% | Soc_c:40.8% | state:CHG
[2026-01-19 23:00:32.228] V:3.996 | I:0.573 | Soc_k:49.2% | Soc_c:40.8% | state:CHG
[2026-01-19 23:00:33.235] V:3.996 | I:0.574 | Soc_k:49.2% | Soc_c:40.8% | state:CHG
[2026-01-19 23:00:34.228] V:3.996 | I:0.574 | Soc_k:49.2% | Soc_c:40.8% | state:CHG
[2026-01-19 23:00:35.229] V:3.996 | I:0.574 | Soc_k:49.2% | Soc_c:40.8% | state:CHG
[2026-01-19 23:00:36.236] V:3.996 | I:0.574 | Soc_k:49.2% | Soc_c:40.8% | state:CHG
[2026-01-19 23:00:37.240] V:3.996 | I:0.574 | Soc_k:49.2% | Soc_c:40.9% | state:CHG
[2026-01-19 23:00:38.247] V:4.000 | I:0.574 | Soc_k:49.2% | Soc_c:40.9% | state:CHG
[2026-01-19 23:00:39.238] V:3.996 | I:0.573 | Soc_k:49.2% | Soc_c:40.9% | state:CHG
[2026-01-19 23:00:40.243] V:3.996 | I:0.573 | Soc_k:49.2% | Soc_c:40.9% | state:CHG
[2026-01-19 23:00:41.249] V:3.996 | I:0.573 | Soc_k:49.2% | Soc_c:40.9% | state:CHG
[2026-01-19 23:00:42.256] V:4.000 | I:0.573 | Soc_k:49.2% | Soc_c:40.9% | state:CHG
[2026-01-19 23:00:43.246] V:3.996 | I:0.573 | Soc_k:49.2% | Soc_c:40.9% | state:CHG
[2026-01-19 23:00:44.250] V:3.996 | I:0.574 | Soc_k:49.3% | Soc_c:41.0% | state:CHG
[2026-01-19 23:00:45.258] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.0% | state:CHG
[2026-01-19 23:00:46.249] V:3.996 | I:0.574 | Soc_k:49.3% | Soc_c:41.0% | state:CHG
[2026-01-19 23:00:47.255] V:3.996 | I:0.574 | Soc_k:49.3% | Soc_c:41.0% | state:CHG
[2026-01-19 23:00:48.263] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.0% | state:CHG
[2026-01-19 23:00:49.268] V:3.996 | I:0.574 | Soc_k:49.3% | Soc_c:41.0% | state:CHG
[2026-01-19 23:00:50.261] V:3.996 | I:0.573 | Soc_k:49.3% | Soc_c:41.0% | state:CHG
[2026-01-19 23:00:51.262] V:3.996 | I:0.573 | Soc_k:49.3% | Soc_c:41.0% | state:CHG
[2026-01-19 23:00:52.271] V:3.996 | I:0.574 | Soc_k:49.3% | Soc_c:41.1% | state:CHG
[2026-01-19 23:00:53.273] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.1% | state:CHG
[2026-01-19 23:00:54.276] V:3.996 | I:0.574 | Soc_k:49.3% | Soc_c:41.1% | state:CHG
[2026-01-19 23:00:55.278] V:3.996 | I:0.574 | Soc_k:49.3% | Soc_c:41.1% | state:CHG
[2026-01-19 23:00:56.282] V:3.996 | I:0.574 | Soc_k:49.3% | Soc_c:41.1% | state:CHG
[2026-01-19 23:00:57.284] V:4.000 | I:0.573 | Soc_k:49.3% | Soc_c:41.1% | state:CHG
[2026-01-19 23:00:58.285] V:4.004 | I:0.574 | Soc_k:49.3% | Soc_c:41.1% | state:CHG
[2026-01-19 23:00:59.275] V:4.000 | I:0.573 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:00.277] V:3.996 | I:0.573 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:01.285] V:4.000 | I:0.573 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:02.292] V:4.000 | I:0.573 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:03.295] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:04.287] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:05.294] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:06.303] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:07.304] V:4.000 | I:0.573 | Soc_k:49.3% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:08.294] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:09.301] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:10.308] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:11.300] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:12.302] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:13.310] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:14.314] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:15.306] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:16.307] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:17.315] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:18.324] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:19.326] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:20.320] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:21.325] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:22.331] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:23.334] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:24.326] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:25.328] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:26.335] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:27.344] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:28.332] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:29.340] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:30.345] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:31.338] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:32.347] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:33.353] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:34.358] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:35.347] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:36.356] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:37.359] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:38.367] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:39.358] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:40.367] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:41.370] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:42.359] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:43.367] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:44.371] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:45.380] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:46.383] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:47.373] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:48.376] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:49.384] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
