[2026-01-21 19:09:20.712] 4.208V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 3.908V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 3.884V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 4.156V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 3.872V | 0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 4.132V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 4.204V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 4.152V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 4.160V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 4.208V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.717] 4.208V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.736] 4.204V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.736] 4.196V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:20.736] 4.100V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:21.600] 4.156V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:22.597] 4.184V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:23.598] 4.192V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:24.600] 3.732V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:25.613] 3.748V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:26.612] 3.760V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:27.616] 3.800V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:28.614] 3.816V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:29.618] 4.212V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:30.620] 4.200V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:31.616] 4.204V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:32.631] 4.196V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:33.632] 4.184V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:34.634] 3.804V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:35.636] 3.828V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:36.626] 3.780V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:37.631] 3.952V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:46.658] .208V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:46.658] 3.960V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:47.660] 3.760V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:48.656] 4.148V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:49.654] 4.172V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:50.660] 3.936V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:51.659] 3.920V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:52.660] 3.852V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:53.676] 4.088V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:54.676] 4.200V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:55.678] 3.980V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:56.678] 3.768V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:57.672] 3.980V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:58.674] 3.740V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:09:59.676] 4.200V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:00.682] 4.156V | 0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:01.679] 3.864V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:02.686] 4.148V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:03.694] 3.892V | 0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:04.682] 3.780V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:05.688] 4.208V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:06.698] 4.176V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:07.690] 4.208V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:08.704] 4.152V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:09.700] 3.904V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:10.700] 3.880V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:11.703] 4.208V | 0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:12.700] 4.008V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:13.705] 4.208V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:14.717] 4.008V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:15.711] 3.740V | 0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:16.711] 4.200V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:17.712] 4.184V | 0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:18.714] 4.204V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:19.719] 4.012V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:20.723] 3.912V | 0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:21.719] 4.200V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:22.718] 3.916V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:23.728] 4.088V | 0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:24.729] 3.772V | 0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:25.730] 4.200V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:26.736] 3.868V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:27.734] 4.200V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:28.740] 4.076V | 0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:29.738] 4.136V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:30.737] 3.736V | 0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:31.740] 4.208V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:32.752] 3.988V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:33.754] 4.120V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:34.748] 3.868V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:35.752] 4.192V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:36.749] 3.808V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:37.762] 4.204V | 0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:38.764] 3.948V | 0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:39.763] 4.100V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:40.756] 3.844V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:41.758] 4.200V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:42.764] 3.784V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:43.766] 4.204V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:44.771] 4.204V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:45.771] 3.916V | 0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:46.768] 4.208V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:47.778] 3.924V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:48.774] 4.204V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:49.774] 4.208V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:50.786] 3.756V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:51.787] 4.192V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:52.786] 3.868V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:53.787] 4.096V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:54.793] 4.096V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:55.790] 4.204V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:56.797] 3.828V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:57.802] 4.164V | 0.0mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:58.804] 4.172V | -0.1mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:10:59.797] 3.772V | -0.3mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:11:00.796] 3.968V | -0.2mA | 0.00/120mAh | 0.00mAh_total | Status: CHARGING
[2026-01-21 19:11:01.800] 3.520V | 584.5mA | 0.16/120mAh | 0.16mAh_total | Status: CHARGING
[2026-01-21 19:11:02.806] 3.508V | 584.0mA | 0.33/120mAh | 0.33mAh_total | Status: CHARGING
