time_s,voltage_V,current_A,soc_thuc,,,,,
140.318,4.132,0,1.000000833,,,,,
141.219,4.132,0.1,1.000000833,,,,,
142.219,4.132,0.1,1.000000833,,,,,
143.217,4.132,0,1.000000833,,,,,
144.219,4.132,0.1,1.000000833,,,,,
145.22,4.132,0.2,1.000000833,,,,,
146.218,4.132,0,1.000000833,,,,,0.001
147.218,4.128,0,1.000000833,,,,,0.001
148.217,4.132,-0.1,1.000000833,,,,,0.001
149.22,4.132,0,1.000000833,,,,,0.001
150.22,4.136,0.1,1.000000833,,,,,0.001
151.222,4.132,0,1.000000833,,,,,0.001
152.226,4.132,0,1.000000833,,,,,0.001
153.229,4.132,0,1.000000833,,,,,0.001
154.216,4.128,0.2,1.000000833,,,,,0.001
155.216,4.132,-0.1,1.000000833,,,,,0.001
156.216,4.132,0.2,1.000000833,,,,,0.001
157.216,4.132,0.3,1.000000833,,,,,0.001
158.219,4.132,-0.4,1.000000833,,,,,0.001
159.221,4.132,0,1.000000833,,,,,0.001
160.227,4.132,-0.2,1.000000833,,,,,0.001
161.214,4.132,0.1,1.000000833,,,,,0.001
162.214,4.132,0,1.000000833,,,,,0.001
163.215,4.132,0.2,1.000000833,,,,,0.001
164.213,4.132,0,1.000000833,,,,,0.001
165.218,4.132,-0.1,1.000000833,,,,,0.001
166.217,4.132,0.1,1.000000833,,,,,0.001
167.222,4.132,0.2,1.000000833,,,,,0.001
168.223,4.132,0.1,1.000000833,,,,,0.001
169.226,4.132,-0.2,1.000000833,,,,,0.001
170.228,4.132,0,1.000000833,,,,,0.001
171.213,4.132,0,1.000000833,,,,,0.001
172.213,4.132,0.1,1.000000833,,,,,0.001
173.227,4.132,-0.1,1.000000833,,,,,0.001
174.216,4.132,0.2,1.000000833,,,,,0.001
175.228,4.132,-0.1,1.000000833,,,,,0.001
176.213,4.132,0.1,1.000000833,,,,,0.001
177.217,4.132,0.1,1.000000833,,,,,0.001
178.22,4.132,0.4,1.000000833,,,,,0.001
179.223,4.132,0.1,1.000000833,,,,,0.001
