time_s,voltage_V,current_A,soc_thuc,Total (mAh)
0,3.148,0.1,0,0
0.007,3.148,-0.1,0,0
0.007,3.148,-0.2,0,0
0.008,3.148,0.1,0,0
0.009,3.152,0.1,0,0
0.01,3.148,0.1,0,0
0.011,3.152,0,0,0
0.012,3.148,0,0,0
0.012,3.148,-0.1,0,0
0.025,3.148,0,0,0
0.025,3.148,0.1,0,0
0.025,3.152,0.1,0,0
0.239,3.148,0,0,0
1.23,3.148,-0.1,0,0
2.241,3.152,0.1,0,0
3.24,3.152,-0.1,0,0
4.237,3.152,-0.1,0,0
5.227,3.148,-0.1,0,0
6.236,3.148,0.1,0,0
7.23,3.152,-0.1,0,0
8.236,3.148,0,0,0
9.231,3.276,1045.3,0.0002425,0.291
10.241,3.292,1028.9,0.00048,0.576
11.238,3.304,1015,0.000715,0.858
12.232,3.316,1008.4,0.000948333,1.138
13.229,3.324,1000.5,0.00118,1.416
14.238,3.336,993.1,0.00141,1.692
15.235,3.344,987.4,0.001638333,1.966
16.231,3.352,980.1,0.001865833,2.239
17.227,3.36,975.8,0.002091667,2.51
18.241,3.368,971.4,0.002316667,2.78
19.235,3.372,970,0.002540833,3.049
20.23,3.376,965.1,0.002764167,3.317
21.227,3.384,960.6,0.002986667,3.584
22.236,3.392,959.6,0.003208333,3.85
23.229,3.4,951.9,0.003429167,4.115
24.241,3.404,950.3,0.003649167,4.379
25.236,3.408,944.9,0.0038675,4.641
26.229,3.416,941.7,0.004085833,4.903
27.226,3.416,938.5,0.004303333,5.164
28.24,3.424,941.2,0.004520833,5.425
29.238,3.424,935.2,0.0047375,5.685
30.239,3.432,932.5,0.004953333,5.944
31.235,3.432,928.7,0.005168333,6.202
32.242,3.44,924.9,0.0053825,6.459
33.235,3.444,922.3,0.005595833,6.715
34.228,3.452,925.6,0.00581,6.972
35.227,3.452,919.8,0.006023333,7.228
36.238,3.456,917.8,0.006235833,7.483
37.236,3.464,913.5,0.006446667,7.736
38.23,3.468,912.9,0.006658333,7.99
39.228,3.468,908.4,0.006868333,8.242
40.24,3.472,912.6,0.00708,8.496
41.239,3.476,906.4,0.007289167,8.747
42.235,3.48,904.1,0.007499167,8.999
43.24,3.484,904.7,0.007708333,9.25
44.234,3.484,901.2,0.007916667,9.5
45.229,3.492,898.6,0.008125,9.75
46.238,3.492,895.2,0.0083325,9.999
47.232,3.496,893.9,0.008539167,10.247
48.227,3.496,891.8,0.008745833,10.495
49.238,3.5,891.7,0.008951667,10.742
50.237,3.504,889.1,0.0091575,10.989
51.232,3.508,886,0.0093625,11.235
52.227,3.512,887,0.009568333,11.482
53.235,3.516,885.1,0.009773333,11.728
54.228,3.512,884.6,0.0099775,11.973
55.24,3.52,882,0.010181667,12.218
56.239,3.524,880.6,0.010385833,12.463
57.234,3.528,883,0.01059,12.708
58.24,3.528,876.3,0.010793333,12.952
59.232,3.532,874.4,0.010995,13.194
60.228,3.532,877.7,0.011198333,13.438
61.238,3.532,873,0.011400833,13.681
62.23,3.54,872,0.0116025,13.923
63.226,3.54,868.1,0.011803333,14.164
64.237,3.544,870.4,0.012005,14.406
65.234,3.544,868.7,0.012205833,14.647
66.232,3.548,865,0.012406667,14.888
67.233,3.548,865.7,0.012606667,15.128
68.23,3.552,864.4,0.012806667,15.368
69.228,3.552,861.9,0.013006667,15.608
70.24,3.56,861.4,0.013205833,15.847
71.236,3.556,859.4,0.013405,16.086
72.234,3.564,859.4,0.013603333,16.324
73.227,3.564,857.2,0.013801667,16.562
74.236,3.568,854.8,0.014,16.8
75.232,3.568,857.1,0.014198333,17.038
76.227,3.568,852.8,0.014395833,17.275
77.239,3.572,851.9,0.0145925,17.511
78.238,3.576,854.8,0.014790833,17.749
79.233,3.58,849.4,0.0149875,17.985
80.227,3.58,848.1,0.015183333,18.22
81.233,3.58,852.2,0.015380833,18.457
82.239,3.584,846,0.015576667,18.692
83.229,3.584,845.7,0.0157725,18.927
84.229,3.588,849.5,0.015969167,19.163
85.226,3.588,843.7,0.016164167,19.397
86.239,3.592,842.4,0.016359167,19.631
87.238,3.592,843.8,0.016555,19.866
88.235,3.592,839.7,0.016749167,20.099
89.231,3.596,839.4,0.016943333,20.332
90.237,3.6,840.1,0.017138333,20.566
91.23,3.6,838.1,0.017331667,20.798
92.226,3.604,836.9,0.017525833,21.031
93.238,3.604,836.6,0.017719167,21.263
94.234,3.604,835.4,0.0179125,21.495
95.231,3.608,833.8,0.018105833,21.727
96.239,3.608,832.6,0.018298333,21.958
97.234,3.608,831.8,0.018490833,22.189
98.226,3.612,832.3,0.018683333,22.42
99.237,3.616,830.4,0.018875833,22.651
100.231,3.62,828.8,0.0190675,22.881
101.226,3.62,833.6,0.019260833,23.113
102.237,3.62,828.1,0.0194525,23.343
103.231,3.62,827.1,0.019644167,23.573
104.231,3.624,830.4,0.019835833,23.803
105.228,3.624,825,0.020026667,24.032
106.234,3.624,825.8,0.020218333,24.262
107.231,3.628,825.6,0.020409167,24.491
108.234,3.632,823.6,0.0206,24.72
109.225,3.632,823.1,0.020790833,24.949
110.224,3.632,821.2,0.020980833,25.177
111.23,3.632,823.1,0.021170833,25.405
112.226,3.632,821.1,0.021360833,25.633
113.237,3.636,820.6,0.021550833,25.861
114.233,3.636,819.9,0.021740833,26.089
115.231,3.64,818.5,0.02193,26.316
116.229,3.64,820.4,0.02212,26.544
117.233,3.644,817,0.022309167,26.771
118.238,3.644,814.6,0.022498333,26.998
119.233,3.644,819.2,0.0226875,27.225
120.232,3.644,812.6,0.022875833,27.451
121.238,3.648,812.2,0.023063333,27.676
122.232,3.648,813.8,0.0232525,27.903
123.224,3.652,812,0.02344,28.128
124.236,3.652,811.7,0.023628333,28.354
125.237,3.652,810.4,0.023815833,28.579
126.231,3.656,810.3,0.024003333,28.804
127.228,3.656,810.1,0.024190833,29.029
128.225,3.656,811.5,0.024378333,29.254
129.224,3.66,809,0.024565833,29.479
130.236,3.66,805.7,0.0247525,29.703
131.235,3.664,810.9,0.02494,29.928
132.23,3.664,804.9,0.025126667,30.152
133.239,3.664,803.7,0.0253125,30.375
134.236,3.668,803.2,0.025498333,30.598
135.233,3.668,802.6,0.025684167,30.821
136.225,3.668,804,0.02587,31.044
137.224,3.668,803.6,0.026055833,31.267
138.237,3.672,802.6,0.026241667,31.49
139.233,3.672,800.1,0.0264275,31.713
140.231,3.676,801.3,0.0266125,31.935
141.224,3.672,798.6,0.0267975,32.157
142.234,3.676,798.3,0.0269825,32.379
143.23,3.672,798.3,0.0271675,32.601
144.225,3.68,796.4,0.027351667,32.822
145.231,3.68,800.8,0.027536667,33.044
146.225,3.68,795.3,0.027720833,33.265
147.238,3.684,797.7,0.027905833,33.487
148.231,3.684,795.1,0.02809,33.708
149.228,3.684,795.8,0.028274167,33.929
150.234,3.684,795,0.0284575,34.149
151.227,3.688,796.9,0.0286425,34.371
152.237,3.688,792,0.028825833,34.591
153.233,3.692,792.3,0.029009167,34.811
154.228,3.692,794.6,0.029193333,35.032
155.235,3.692,791.6,0.029375833,35.251
