time_s,voltage_V,current_A,soc_thuc,,,Total (mAh)
0.661,4.108,-0.1,0.99883,,,-1.404
1.668,4.108,0,0.99883,,,-1.404
2.654,4.108,0,0.99883,,,-1.404
3.654,4.108,0.2,0.99883,,,-1.404
4.654,4.108,-0.2,0.99883,,,-1.404
5.669,4.108,-0.3,0.99883,,,-1.404
6.657,4.108,0.2,0.99883,,,-1.404
7.661,4.108,0.3,0.99883,,,-1.404
8.667,4.108,0.1,0.99883,,,-1.404
9.668,4.112,0.1,0.99883,,,-1.404
10.667,4.108,0,0.99883,,,-1.404
11.654,4.108,0,0.99883,,,-1.404
12.656,4.104,0.1,0.99883,,,-1.404
13.655,4.108,-0.1,0.99883,,,-1.404
14.733,4.108,0.1,0.99883,,,-1.404
15.658,4.108,-0.2,0.99883,,,-1.404
16.66,4.108,0.2,0.99883,,,-1.404
17.663,4.108,0.2,0.99883,,,-1.404
18.654,4.072,-335.7,0.9987525,,,-1.497
19.654,4.072,-337.2,0.998674167,,,-1.591
20.653,4.068,-338.2,0.998595833,,,-1.685
21.655,4.068,-339,0.9985175,,,-1.779
22.658,4.068,-338.7,0.998439167,,,-1.873
23.661,4.068,-339.2,0.998360833,,,-1.967
24.656,4.068,-339,0.998281667,,,-2.062
25.66,4.064,-339.5,0.998203333,,,-2.156
26.664,4.064,-339.3,0.998125,,,-2.25
27.654,4.06,-339.5,0.998046667,,,-2.344
28.656,4.064,-339.9,0.9979675,,,-2.439
29.656,4.064,-339.8,0.997889167,,,-2.533
30.663,4.064,-339.3,0.99781,,,-2.628
31.664,4.06,-339.5,0.997731667,,,-2.722
32.668,4.06,-340.1,0.997653333,,,-2.816
33.664,4.06,-340.2,0.997574167,,,-2.911
34.663,4.064,-339.9,0.997495833,,,-3.005
35.666,4.06,-340.4,0.997416667,,,-3.1
36.667,4.06,-340,0.997338333,,,-3.194
37.655,4.056,-340.1,0.997259167,,,-3.289
38.664,4.06,-339.8,0.997180833,,,-3.383
39.66,4.06,-340.3,0.997101667,,,-3.478
40.663,4.056,-340.2,0.997023333,,,-3.572
41.664,4.056,-340,0.996944167,,,-3.667
42.653,4.056,-340.1,0.996865833,,,-3.761
43.658,4.056,-340,0.9967875,,,-3.855
44.654,4.052,-340.3,0.996708333,,,-3.95
45.663,4.056,-339.9,0.99663,,,-4.044
46.663,4.056,-339.8,0.996550833,,,-4.139
47.654,4.056,-340,0.9964725,,,-4.233
48.657,4.052,-339.8,0.996393333,,,-4.328
49.659,4.052,-340,0.996315,,,-4.422
50.666,4.052,-340.1,0.996235833,,,-4.517
51.654,4.052,-340.2,0.9961575,,,-4.611
52.657,4.052,-339.8,0.996079167,,,-4.705
53.661,4.052,-340,0.996,,,-4.8
54.662,4.052,-340,0.995921667,,,-4.894
55.666,4.052,-340,0.9958425,,,-4.989
56.656,4.052,-340,0.995764167,,,-5.083
57.664,4.052,-340,0.995685,,,-5.178
58.657,4.052,-339.8,0.995606667,,,-5.272
59.657,4.048,-340.1,0.995528333,,,-5.366
60.662,4.052,-339.9,0.995449167,,,-5.461
61.662,4.048,-339.8,0.995370833,,,-5.555
62.66,4.052,-339.9,0.995291667,,,-5.65
63.662,4.048,-339.7,0.995213333,,,-5.744
64.656,4.048,-339.7,0.995135,,,-5.838
65.659,4.048,-339.7,0.995055833,,,-5.933
66.658,4.048,-339.5,0.9949775,,,-6.027
67.665,4.048,-339.5,0.994899167,,,-6.121
68.653,4.048,-339.4,0.99482,,,-6.216
69.66,4.048,-339.4,0.994741667,,,-6.31
70.664,4.048,-339.7,0.994663333,,,-6.404
71.661,4.048,-339.4,0.994584167,,,-6.499
72.665,4.048,-339.4,0.994505833,,,-6.593
73.667,4.048,-339.4,0.9944275,,,-6.687
74.667,4.044,-339.6,0.994348333,,,-6.782
75.655,4.044,-339.3,0.99427,,,-6.876
76.664,4.044,-339.3,0.994191667,,,-6.97
77.656,4.044,-339.5,0.994113333,,,-7.064
78.661,4.048,-339.5,0.994034167,,,-7.159
79.666,4.044,-339.4,0.993955833,,,-7.253
80.657,4.044,-339.3,0.9938775,,,-7.347
81.665,4.048,-339.4,0.993799167,,,-7.441
82.655,4.044,-339.1,0.99372,,,-7.536
83.664,4.044,-339.2,0.993641667,,,-7.63
84.665,4.044,-338.9,0.993563333,,,-7.724
85.657,4.044,-338.9,0.993485,,,-7.818
86.652,4.044,-338.8,0.993406667,,,-7.912
87.657,4.044,-338.6,0.993328333,,,-8.006
88.664,4.044,-338.7,0.99325,,,-8.1
89.666,4.044,-338.7,0.993171667,,,-8.194
90.66,4.04,-338.7,0.9930925,,,-8.289
91.666,4.04,-338.9,0.993014167,,,-8.383
92.657,4.04,-338.6,0.992935833,,,-8.477
93.663,4.044,-338.7,0.9928575,,,-8.571
94.655,4.044,-338.8,0.992779167,,,-8.665
95.656,4.04,-338.7,0.992700833,,,-8.759
96.662,4.044,-338.8,0.9926225,,,-8.853
97.667,4.044,-338.9,0.992544167,,,-8.947
98.658,4.04,-338.7,0.992465833,,,-9.041
99.652,4.04,-338.7,0.9923875,,,-9.135
100.666,4.04,-338.5,0.992309167,,,-9.229
101.657,4.04,-338.7,0.99223,,,-9.324
102.664,4.04,-338.4,0.992151667,,,-9.418
103.656,4.04,-338.6,0.992073333,,,-9.512
104.665,4.044,-338.7,0.991995,,,-9.606
105.665,4.04,-338.8,0.991916667,,,-9.7
106.657,4.04,-338.6,0.991838333,,,-9.794
107.663,4.04,-338.4,0.99176,,,-9.888
108.654,4.04,-338.4,0.991681667,,,-9.982
109.661,4.04,-338.5,0.991603333,,,-10.076
110.66,4.04,-338.4,0.991525,,,-10.17
111.663,4.04,-338.2,0.991446667,,,-10.264
112.652,4.044,-338.4,0.991368333,,,-10.358
113.659,4.04,-338.2,0.99129,,,-10.452
114.665,4.04,-338.5,0.991211667,,,-10.546
115.666,4.04,-338.3,0.991133333,,,-10.64
116.654,4.036,-338.3,0.991055,,,-10.734
117.664,4.04,-338.5,0.990976667,,,-10.828
118.653,4.04,-338.5,0.990898333,,,-10.922
119.661,4.036,-338.3,0.99082,,,-11.016
120.662,4.036,-338.3,0.990741667,,,-11.11
121.653,4.04,-338.5,0.990663333,,,-11.204
122.662,4.04,-338.5,0.990585,,,-11.298
123.653,4.04,-338.4,0.990506667,,,-11.392
124.659,4.04,-338.3,0.990428333,,,-11.486
125.657,4.036,-338.5,0.99035,,,-11.58
126.662,4.04,-338.4,0.990271667,,,-11.674
127.651,4.036,-338.3,0.990193333,,,-11.768
128.666,4.036,-338.5,0.990115,,,-11.862
129.663,4.036,-338.4,0.990036667,,,-11.956
130.658,4.036,-338.3,0.989958333,,,-12.05
131.66,4.036,-338.6,0.98988,,,-12.144
132.658,4.036,-338.4,0.989801667,,,-12.238
133.666,4.036,-338.5,0.989723333,,,-12.332
134.654,4.032,-338.5,0.989645,,,-12.426
135.659,4.036,-338.5,0.989566667,,,-12.52
136.661,4.036,-338.5,0.989488333,,,-12.614
137.652,4.036,-338.5,0.98941,,,-12.708
138.66,4.036,-338.3,0.989331667,,,-12.802
139.664,4.036,-338.4,0.989253333,,,-12.896
140.666,4.036,-338.4,0.989175,,,-12.99
141.659,4.036,-338.5,0.989096667,,,-13.084
142.665,4.04,-338.4,0.989018333,,,-13.178
143.654,4.032,-338.3,0.98894,,,-13.272
144.66,4.036,-338.7,0.988861667,,,-13.366
145.662,4.036,-338.5,0.988783333,,,-13.46
146.656,4.036,-338.2,0.988705,,,-13.554
147.65,4.036,-338.4,0.988626667,,,-13.648
148.655,4.032,-338.4,0.988548333,,,-13.742
149.663,4.032,-338.4,0.98847,,,-13.836
150.651,4.036,-338.4,0.988391667,,,-13.93
151.657,4.032,-338.5,0.988313333,,,-14.024
152.666,4.036,-338.3,0.988235,,,-14.118
153.658,4.036,-338.6,0.988156667,,,-14.212
154.663,4.032,-338.4,0.988078333,,,-14.306
155.663,4.036,-338.2,0.988,,,-14.4
156.652,4.036,-338.1,0.987921667,,,-14.494
157.657,4.032,-338.3,0.987843333,,,-14.588
158.664,4.036,-338.4,0.987765,,,-14.682
159.651,4.032,-338.6,0.987686667,,,-14.776
160.653,4.032,-338.5,0.987608333,,,-14.87
161.656,4.036,-338.3,0.98753,,,-14.964
162.664,4.032,-338.2,0.987451667,,,-15.058
163.656,4.032,-338.4,0.987373333,,,-15.152
164.662,4.032,-338.1,0.987295,,,-15.246
165.652,4.032,-338.1,0.987216667,,,-15.34
166.658,4.032,-338.2,0.987138333,,,-15.434
167.65,4.036,-338,0.98706,,,-15.528
168.656,4.032,-338.2,0.9869825,,,-15.621
169.664,4.032,-338.1,0.986904167,,,-15.715
170.664,4.032,-338.2,0.986825833,,,-15.809
171.655,4.032,-338.1,0.9867475,,,-15.903
172.664,4.032,-338.3,0.986669167,,,-15.997
173.654,4.032,-338.4,0.986590833,,,-16.091
174.663,4.036,-338.3,0.9865125,,,-16.185
175.662,4.032,-338,0.986434167,,,-16.279
176.651,4.032,-338.3,0.986355833,,,-16.373
177.654,4.032,-338.4,0.9862775,,,-16.467
178.663,4.032,-338.3,0.986199167,,,-16.561
179.653,4.032,-338.3,0.986120833,,,-16.655
180.656,4.032,-338.5,0.9860425,,,-16.749
181.663,4.032,-338.2,0.985964167,,,-16.843
182.651,4.028,-338.5,0.985885833,,,-16.937
183.661,4.032,-338.3,0.9858075,,,-17.031
184.651,4.028,-338.4,0.985729167,,,-17.125
185.655,4.032,-338.3,0.985650833,,,-17.219
186.657,4.032,-338.1,0.9855725,,,-17.313
