time_s,voltage_V,current_A,soc_thuc,Total (mAh),,,,,,,
4440.113,4.012,632.6,,,,,,,,,
4441.126,4.008,632.8,,,,,,,,,
4442.12,4.012,631,,,,,,,,,
4443.116,4.012,637,,,,,,,,,
4444.119,4.008,630.8,,,,,,,,,
4445.114,4.012,631.8,,,,,,,,,
4446.113,4.012,632.1,,,,,,,,,
4447.124,4.012,633.2,,,,,,,,,
4448.12,4.012,632.1,,,,,,,,,
4449.122,4.012,636.6,,,,,,,,,
4450.116,4.012,630.8,,,,,,,,,
4451.114,4.012,631.2,,,,,,,,,
4452.113,4.012,630.9,,,,,,,,,
4453.128,4.012,632.8,,,,,,,,,
4454.119,4.012,632.2,,,,,,,,,
4455.114,4.012,636.4,,,,,,,,,
4456.115,4.012,630.5,,,,,,,,,
4457.127,4.012,630.4,,,,,,,,,
4458.125,4.012,630,,,,,,,,,
4459.122,4.016,632.3,,,,,,,,,
4460.117,4.012,632.6,,,,,,,,,
4461.114,4.012,632.6,,,,,,,,,
4462.114,4.012,631.1,,,,,,,,,
4463.114,4.012,629.6,,,,,,,,,
4464.125,4.012,630.6,,,,,,,,,
4465.123,4.012,631.2,,,,,,,,,
4466.121,4.012,632.1,,,,,,,,,
4467.117,4.012,632.4,,,,,,,,,
4468.118,4.016,631.9,,,,,,,,,
4469.123,4.012,629.4,,,,,,,,,
4470.123,4.016,629.8,,,,,,,,,
4471.118,4.012,630.1,,,,,,,,,
4472.116,4.012,632.2,,,,,,,,,
4473.126,4.012,632.2,,,,,,,,,
4474.123,4.012,631.5,,,,,,,,,
4475.121,4.016,632.8,,,,,,,,,
4476.122,4.016,629.6,,,,,,,,,
4477.119,4.016,629.8,,,,,,,,,
4478.118,4.012,632.9,,,,,,,,,
4479.116,4.016,631,,,,,,,,,
4480.121,4.016,631.4,,,,,,,,,
4481.119,4.016,632.6,,,,,,,,,
4482.119,4.012,631.3,,,,,,,,,
4483.117,4.016,629,,,,,,,,,
4484.113,4.012,632.9,,,,,,,,,
4485.113,4.016,630.9,,,,,,,,,
4486.123,4.016,631.1,,,,,,,,,
4487.122,4.012,631.7,,,,,,,,,
4488.126,4.016,631.4,,,,,,,,,
4489.126,4.012,628.1,,,,,,,,,
4490.123,4.016,633.4,,,,,,,,,
4491.12,4.016,630,,,,,,,,,
4492.122,4.012,631.3,,,,,,,,,
4493.117,4.016,631.3,,,,,,,,,
4494.115,4.016,631.2,,,,,,,,,
4495.118,4.016,628.4,,,,,,,,,
4496.122,4.012,630.7,,,,,,,,,
4497.114,4.012,628.8,,,,,,,,,
4498.122,4.016,630.9,,,,,,,,,
4499.116,4.016,630.3,,,,,,,,,
4500.116,4.012,630.6,,,,,,,,,
4501.111,4.016,628.5,,,,,,,,,
4502.119,4.016,630.6,,,,,,,,,
4503.117,4.016,629.4,,,,,,,,,
4504.115,4.016,629,,,,,,,,,
4505.112,4.016,630,,,,,,,,,
4506.124,4.016,630.6,,,,,,,,,
4507.117,4.016,628.1,,,,,,,,,
4508.117,4.016,629.9,,,,,,,,,
4509.125,4.016,629.4,,,,,,,,,
4510.119,4.016,633.3,,,,,,,,,
4511.117,4.02,628.8,,,,,,,,,
4512.117,4.016,630,,,,,,,,,
4513.118,4.02,628.5,,,,,,,,,
4514.111,4.016,629.8,,,,,,,,,
4515.112,4.016,629.5,,,,,,,,,
4516.123,4.016,633.3,,,,,,,,,
4517.124,4.016,628.1,,,,,,,,,
4518.12,4.016,629.4,,,,,,,,,
4519.117,4.016,628.5,,,,,,,,,
4520.112,4.016,630,,,,,,,,,
4521.111,4.016,629,,,,,,,,,
4522.124,4.016,632.6,,,,,,,,,
4523.12,4.02,627.5,,,,,,,,,
4524.12,4.016,627.1,,,,,,,,,
4525.118,4.02,628.2,,,,,,,,,
4526.116,4.02,629.5,,,,,,,,,
4527.115,4.016,629,,,,,,,,,
4528.111,4.02,631.6,,,,,,,,,
4529.121,4.02,627.8,,,,,,,,,
4530.118,4.016,627.1,,,,,,,,,
4531.117,4.016,627.1,,,,,,,,,
4532.117,4.016,628.7,,,,,,,,,
4533.115,4.02,628.5,,,,,,,,,
4534.111,4.016,632.1,,,,,,,,,
4535.126,4.016,627.5,,,,,,,,,
4536.112,4.02,626.5,,,,,,,,,
4537.111,4.016,626.8,,,,,,,,,
4538.123,4.02,628.2,,,,,,,,,
4539.117,4.016,628.2,,,,,,,,,
4540.11,4.02,631.8,,,,,,,,,
4541.123,4.02,627.2,,,,,,,,,
4542.123,4.02,626.4,,,,,,,,,
4543.121,4.02,626.4,,,,,,,,,
4544.119,4.02,627.7,,,,,,,,,
4545.117,4.02,628.4,,,,,,,,,
4546.116,4.02,627.9,,,,,,,,,
4547.116,4.016,625.9,,,,,,,,,
4548.114,4.02,626,,,,,,,,,
4549.114,4.02,626.5,,,,,,,,,
4550.113,4.02,628.2,,,,,,,,,
4551.112,4.02,627.5,,,,,,,,,
4552.122,4.02,628.3,,,,,,,,,
4553.119,4.02,627.9,,,,,,,,,
4554.115,4.02,631.3,,,,,,,,,
4555.11,4.02,625.6,,,,,,,,,
4556.122,4.016,628,,,,,,,,,
4557.117,4.02,626.7,,,,,,,,,
4558.115,4.016,627.9,,,,,,,,,
4559.113,4.02,626.9,,,,,,,,,
4560.111,4.02,630.8,,,,,,,,,
4561.123,4.02,625,,,,,,,,,
4562.117,4.02,627.8,,,,,,,,,
4563.122,4.02,625.6,,,,,,,,,
4564.116,4.02,627.7,,,,,,,,,
4565.111,4.02,625.8,,,,,,,,,
4566.124,4.02,630.7,,,,,,,,,
4567.119,4.02,625.3,,,,,,,,,
4568.116,4.02,625.5,,,,,,,,,
4569.113,4.02,626,,,,,,,,,
4570.109,4.024,627.4,,,,,,,,,
4571.116,4.02,625.9,,,,,,,,,
4572.115,4.024,629.9,,,,,,,,,
4573.111,4.02,624.8,,,,,,,,,
4574.111,4.02,625.8,,,,,,,,,
4575.119,4.02,626.3,,,,,,,,,
4576.116,4.02,626.3,,,,,,,,,
4577.111,4.024,625.4,,,,,,,,,
4578.121,4.024,629.6,,,,,,,,,
4579.12,4.02,624.6,,,,,,,,,
4580.119,4.02,625.1,,,,,,,,,
4581.114,4.024,625.1,,,,,,,,,
4582.116,4.024,626.1,,,,,,,,,
4583.114,4.02,625.3,,,,,,,,,
4584.123,4.024,629.6,,,,,,,,,
4585.123,4.02,624,,,,,,,,,
4586.119,4.024,624.2,,,,,,,,,
4587.117,4.02,624,,,,,,,,,
4588.113,4.02,625.7,,,,,,,,,
4589.112,4.024,625.5,,,,,,,,,
4590.116,4.02,625.8,,,,,,,,,
4591.112,4.02,625.3,,,,,,,,,
4592.109,4.02,623.8,,,,,,,,,
4593.112,4.02,623.8,,,,,,,,,
4594.112,4.024,625.6,,,,,,,,,
4595.12,4.024,625,,,,,,,,,
4596.117,4.024,625.6,,,,,,,,,
