time_s,voltage_V,current_A,soc_thuc,,,,
0,4.128,0,1,,,,0
0.004,4.128,0,1,,,,0
0.004,4.128,0.2,1,,,,0
0.004,4.128,0.2,1,,,,0
0.004,4.128,-0.2,1,,,,0
0.004,4.128,-0.1,1,,,,0
0.004,4.128,-0.2,1,,,,0
0.004,4.128,0.1,1,,,,0
0.004,4.128,0.1,1,,,,0
0.006,4.128,-0.2,1,,,,0
0.01,4.128,0.3,1,,,,0
0.01,4.128,0,1,,,,0
0.01,4.128,0.1,1,,,,0
0.195,4.128,-0.1,1,,,,0
1.205,4.128,-0.2,1,,,,0
2.199,4.128,0.1,1,,,,0
3.195,4.128,-0.1,1,,,,0
4.203,4.128,0.1,1,,,,0
5.204,4.128,0.1,1,,,,0
6.194,4.128,0,1,,,,0
7.197,4.128,0,1,,,,0
8.192,4.128,0.1,1,,,,0
9.193,4.128,-0.1,1,,,,0
10.207,4.124,0.2,1,,,,0
11.205,4.128,-0.1,1,,,,0
12.204,4.128,0,1,,,,0
13.198,4.128,0,1,,,,0
14.194,4.128,-0.1,1,,,,0
15.207,4.128,0.1,1,,,,0
16.202,4.128,-0.2,1,,,,0
17.192,4.132,0,1,,,,0
18.202,4.128,-0.1,1,,,,0
19.198,4.128,0,1,,,,0
20.192,4.128,0.1,1,,,,0
21.193,4.128,0.2,1,,,,0
22.205,4.128,0,1,,,,0
23.201,4.128,0.1,1,,,,0
24.198,4.128,-0.1,1,,,,0
25.194,4.128,0,1,,,,0
26.192,4.128,0.1,1,,,,0
27.199,4.128,0.1,1.000000833,,,,0.001
28.192,4.132,0.1,1.000000833,,,,0.001
29.192,4.128,0.3,1.000000833,,,,0.001
30.204,4.128,0.1,1.000000833,,,,0.001
31.199,4.128,0,1.000000833,,,,0.001
32.198,4.128,0.1,1.000000833,,,,0.001
33.193,4.128,0.1,1.000000833,,,,0.001
34.202,4.128,0.1,1.000000833,,,,0.001
35.199,4.128,0,1.000000833,,,,0.001
36.194,4.128,0.3,1.000000833,,,,0.001
37.205,4.128,-0.2,1.000000833,,,,0.001
38.203,4.128,0,1.000000833,,,,0.001
39.2,4.128,0.1,1.000000833,,,,0.001
40.201,4.128,0,1.000000833,,,,0.001
41.201,4.128,-0.1,1.000000833,,,,0.001
42.199,4.128,0.2,1.000000833,,,,0.001
43.196,4.132,0,1.000000833,,,,0.001
44.192,4.128,-0.1,1.000000833,,,,0.001
45.2,4.128,0,1.000000833,,,,0.001
46.197,4.132,0.1,1.000000833,,,,0.001
47.2,4.128,0.1,1.000000833,,,,0.001
48.196,4.128,0,1.000000833,,,,0.001
49.197,4.128,0,1.000000833,,,,0.001
50.192,4.128,-0.1,1.000000833,,,,0.001
51.202,4.128,0,1.000000833,,,,0.001
52.201,4.132,-0.1,1.000000833,,,,0.001
53.197,4.128,0.2,1.000000833,,,,0.001
54.192,4.128,0.2,1.000000833,,,,0.001
55.203,4.128,0,1.000000833,,,,0.001
56.2,4.128,0,1.000000833,,,,0.001
57.196,4.128,0,1.000000833,,,,0.001
58.194,4.128,0,1.000000833,,,,0.001
59.203,4.128,-0.2,1.000000833,,,,0.001
60.201,4.128,0,1.000000833,,,,0.001
61.194,4.128,0,1.000000833,,,,0.001
62.191,4.128,0.1,1.000000833,,,,0.001
63.195,4.128,-0.1,1.000000833,,,,0.001
64.193,4.128,0.1,1.000000833,,,,0.001
65.197,4.128,0,1.000000833,,,,0.001
66.195,4.128,-0.1,1.000000833,,,,0.001
67.204,4.128,0.2,1.000000833,,,,0.001
68.2,4.128,0,1.000000833,,,,0.001
69.194,4.128,-0.1,1.000000833,,,,0.001
70.204,4.128,0,1.000000833,,,,0.001
71.201,4.116,-155.7,0.999965,,,,-0.042
72.204,4.112,-164.5,0.999926667,,,,-0.088
73.203,4.112,-163.5,0.999889167,,,,-0.133
74.2,4.112,-161,0.999851667,,,,-0.178
75.193,4.108,-161.3,0.999814167,,,,-0.223
76.192,4.108,-161.1,0.999776667,,,,-0.268
77.191,4.108,-160.6,0.99974,,,,-0.312
78.202,4.108,-161.7,0.9997025,,,,-0.357
79.194,4.108,-162,0.999665,,,,-0.402
80.193,4.108,-162,0.9996275,,,,-0.447
81.291,4.108,-161.8,0.99959,,,,-0.492
82.2,4.108,-162.1,0.9995525,,,,-0.537
83.195,4.104,-162,0.999515,,,,-0.582
84.191,4.108,-161.9,0.9994775,,,,-0.627
85.2,4.108,-161.8,0.99944,,,,-0.672
86.195,4.108,-162,0.9994025,,,,-0.717
87.202,4.104,-161.6,0.999365,,,,-0.762
88.2,4.1,-162,0.9993275,,,,-0.807
89.197,4.104,-163,0.99929,,,,-0.852
90.191,4.104,-161.9,0.9992525,,,,-0.897
91.201,4.104,-161.8,0.999215,,,,-0.942
92.198,4.108,-162.1,0.9991775,,,,-0.987
