time_s,voltage_V,current_A,soc_thuc,,Total_mAh
10,4.096,0,1,,0
20,3.78,-0.677,0.998190695,,-1.89
30,3.78,-0.676,0.996390963,,-3.77
40,3.764,-0.674,0.994581658,,-5.66
50,3.76,-0.673,0.992781926,,-7.54
60,3.764,-0.673,0.990982194,,-9.42
70,3.752,-0.672,0.989192035,,-11.29
80,3.748,-0.671,0.987392303,,-13.17
90,3.748,-0.671,0.985602144,,-15.04
100,3.744,-0.671,0.983802412,,-16.92
110,3.744,-0.671,0.982012253,,-18.79
120,3.744,-0.67,0.980222095,,-20.66
130,3.74,-0.669,0.978431936,,-22.53
140,3.736,-0.669,0.976641777,,-24.4
150,3.736,-0.668,0.974861191,,-26.26
160,3.736,-0.668,0.973071032,,-28.13
170,3.732,-0.669,0.971280873,,-30
180,3.732,-0.668,0.969500287,,-31.86
190,3.736,-0.668,0.967710128,,-33.73
200,3.728,-0.668,0.965929542,,-35.59
210,3.728,-0.667,0.964148957,,-37.45
220,3.724,-0.668,0.962358798,,-39.32
230,3.728,-0.667,0.960578212,,-41.18
240,3.728,-0.667,0.958797626,,-43.04
250,3.724,-0.667,0.95701704,,-44.9
260,3.724,-0.666,0.955236454,,-46.76
270,3.724,-0.666,0.953455868,,-48.62
280,3.724,-0.665,0.951675282,,-50.48
290,3.72,-0.666,0.949894697,,-52.34
300,3.716,-0.666,0.948114111,,-54.2
310,3.716,-0.665,0.946343098,,-56.05
320,3.716,-0.665,0.944562512,,-57.91
330,3.716,-0.665,0.942781926,,-59.77
340,3.716,-0.665,0.941010913,,-61.62
350,3.712,-0.665,0.939230327,,-63.48
360,3.716,-0.664,0.937449742,,-65.34
370,3.712,-0.664,0.935678729,,-67.19
380,3.712,-0.665,0.933898143,,-69.05
390,3.712,-0.664,0.93212713,,-70.9
400,3.716,-0.664,0.930346544,,-72.76
410,3.708,-0.664,0.928575531,,-74.61
420,3.708,-0.664,0.926804518,,-76.46
430,3.704,-0.663,0.925023933,,-78.32
440,3.708,-0.663,0.92325292,,-80.17
450,3.704,-0.663,0.921481907,,-82.02
460,3.708,-0.663,0.919710894,,-83.87
470,3.708,-0.663,0.917939881,,-85.72
480,3.7,-0.663,0.916159295,,-87.58
490,3.704,-0.663,0.914388283,,-89.43
500,3.704,-0.663,0.91261727,,-91.28
510,3.704,-0.663,0.910846257,,-93.13
