time_s,voltage_V,current_A,soc_thuc
0,3.5,-0.0002,0.0265
0,3.5,-0.0003,0.0265
0,3.5,0,0.0265
0,3.5,-0.0002,0.0265
0,3.5,-0.0002,0.0265
0,3.5,-0.0002,0.0265
0,3.5,0.0001,0.0265
0,3.5,-0.0001,0.0265
0,3.5,0.0001,0.0265
0,3.496,-0.0001,0.0265
0,3.496,0.0001,0.0265
0,3.496,-0.0001,0.0265
0.014,3.5,-0.0001,0.0265
0.014,3.496,-0.0001,0.0265
0.014,3.5,0.0001,0.0265
0.652,3.496,0,0.0265
1.658,3.496,-0.0001,0.0265
2.663,3.496,0,0.0265
3.665,3.5,0,0.0265
4.665,3.5,-0.0001,0.0265
5.664,3.5,0.0001,0.0265
6.652,3.5,-0.0002,0.0265
7.66,3.496,-0.0002,0.0265
8.666,3.5,-0.0001,0.0265
9.659,3.496,-0.0003,0.0265
10.666,3.58,0.9119,0.0267
11.658,3.584,0.9061,0.0269
12.666,3.584,0.9007,0.0271
13.66,3.588,0.8972,0.0274
14.666,3.588,0.8928,0.0276
15.658,3.592,0.8911,0.0278
16.661,3.596,0.8881,0.028
17.653,3.596,0.8834,0.0282
18.662,3.6,0.8829,0.0284
19.652,3.604,0.881,0.0286
20.662,3.608,0.8767,0.0288
21.65,3.604,0.8742,0.029
22.659,3.608,0.8754,0.0292
23.663,3.612,0.8713,0.0294
24.654,3.616,0.8698,0.0296
25.659,3.612,0.8686,0.0298
26.652,3.62,0.866,0.03
27.656,3.624,0.8672,0.0302
28.653,3.624,0.8632,0.0304
29.656,3.624,0.8635,0.0306
30.655,3.628,0.8645,0.0308
31.654,3.632,0.8591,0.031
32.656,3.628,0.8584,0.0312
33.666,3.632,0.8582,0.0314
34.66,3.636,0.8563,0.0316
35.65,3.636,0.853,0.0318
36.661,3.64,0.8529,0.032
37.666,3.64,0.853,0.0322
38.658,3.64,0.8513,0.0324
39.662,3.644,0.8502,0.0326
40.655,3.644,0.848,0.0328
41.658,3.648,0.8475,0.033
42.651,3.648,0.8457,0.0332
43.657,3.652,0.8458,0.0334
44.662,3.648,0.8433,0.0336
45.655,3.652,0.8405,0.0338
46.66,3.656,0.8428,0.034
47.653,3.66,0.8435,0.0341
48.656,3.66,0.84,0.0343
49.661,3.66,0.8391,0.0345
50.665,3.656,0.836,0.0347
51.65,3.664,0.8353,0.0349
52.654,3.66,0.8357,0.0351
53.657,3.664,0.8377,0.0353
54.65,3.664,0.8345,0.0355
55.656,3.672,0.8338,0.0357
56.665,3.668,0.8336,0.0359
57.649,3.672,0.8304,0.0361
58.649,3.672,0.831,0.0363
59.658,3.676,0.8317,0.0365
60.664,3.68,0.8285,0.0367
61.658,3.676,0.8272,0.0368
62.664,3.68,0.8302,0.037
63.657,3.68,0.8273,0.0372
64.649,3.684,0.8241,0.0374
65.653,3.68,0.8244,0.0376
66.658,3.684,0.824,0.0378
67.649,3.688,0.8239,0.038
68.658,3.688,0.8273,0.0382
69.65,3.688,0.8233,0.0384
70.658,3.692,0.8196,0.0386
71.663,3.692,0.8228,0.0388
72.655,3.692,0.8201,0.0389
73.649,3.696,0.8188,0.0391
74.659,3.692,0.8167,0.0393
75.649,3.696,0.8172,0.0395
76.656,3.696,0.8182,0.0397
77.649,3.696,0.8165,0.0399
78.655,3.696,0.8162,0.0401
79.664,3.7,0.8134,0.0403
80.648,3.704,0.8136,0.0405
81.649,3.7,0.8115,0.0406
82.656,3.704,0.812,0.0408
83.648,3.704,0.8128,0.041
84.657,3.708,0.8107,0.0412
85.664,3.708,0.8104,0.0414
86.656,3.708,0.8081,0.0416
87.663,3.708,0.809,0.0418
88.657,3.708,0.8101,0.042
89.664,3.712,0.8079,0.0421
90.657,3.712,0.8079,0.0423
91.661,3.716,0.8112,0.0425
92.656,3.716,0.8072,0.0427
93.661,3.716,0.8064,0.0429
94.649,3.72,0.8076,0.0431
95.649,3.72,0.8063,0.0433
96.661,3.72,0.8023,0.0435
97.663,3.72,0.8047,0.0436
98.65,3.72,0.8015,0.0438
99.654,3.728,0.7995,0.044
100.66,3.724,0.7997,0.0442
101.651,3.728,0.7995,0.0444
102.662,3.728,0.8004,0.0446
103.663,3.724,0.7989,0.0448
104.656,3.728,0.7979,0.0449
105.663,3.728,0.7994,0.0451
106.654,3.732,0.7967,0.0453
107.657,3.732,0.7982,0.0455
108.651,3.732,0.7987,0.0457
109.655,3.732,0.7944,0.0459
110.663,3.736,0.7961,0.046
111.657,3.736,0.7968,0.0462
112.648,3.736,0.7947,0.0464
113.658,3.736,0.7955,0.0466
114.662,3.74,0.7956,0.0468
115.651,3.74,0.7921,0.047
116.651,3.74,0.7947,0.0471
117.649,3.744,0.795,0.0473
118.648,3.74,0.7916,0.0475
119.657,3.744,0.792,0.0477
120.651,3.744,0.7936,0.0479
121.657,3.744,0.7887,0.0481
122.652,3.744,0.7897,0.0482
123.659,3.744,0.7903,0.0484
124.652,3.748,0.7889,0.0486
125.655,3.748,0.788,0.0488
126.649,3.748,0.7892,0.049
127.659,3.752,0.7851,0.0492
128.662,3.752,0.7877,0.0493
129.648,3.748,0.787,0.0495
130.654,3.752,0.7863,0.0497
131.662,3.756,0.787,0.0499
132.653,3.756,0.7852,0.0501
133.662,3.756,0.784,0.0503
134.652,3.756,0.7837,0.0504
135.662,3.76,0.7838,0.0506
136.657,3.756,0.7838,0.0508
137.658,3.756,0.7822,0.051
138.65,3.76,0.7845,0.0512
