[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.928V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.928V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.932V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.928V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:55.119] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:56.121] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:57.119] V:0.928V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:58.123] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:15:59.127] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:00.121] V:0.924V | I:-0.001A | mAh:-0.01
[2026-01-16 22:16:01.124] V:0.928V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:02.130] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:03.121] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:04.129] V:0.924V | I:-0.001A | mAh:-0.01
[2026-01-16 22:16:05.135] V:0.928V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:06.140] V:0.736V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:07.142] V:0.824V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:08.135] V:3.292V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:09.140] V:3.296V | I:0.000A | mAh:-0.01
[2026-01-16 22:16:10.142] V:3.292V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:11.146] V:3.292V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:12.138] V:3.292V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:13.153] V:3.296V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:14.142] V:3.296V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:15.152] V:3.292V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:16.146] V:3.296V | I:-0.000A | mAh:-0.01
[2026-01-16 22:16:17.148] V:3.288V | I:0.000A | mAh:-0.01
[2026-01-16 22:16:20.105] V:3.348V | I:0.589A | mAh:0.02
[2026-01-16 22:16:21.108] V:3.352V | I:0.589A | mAh:0.18
[2026-01-16 22:16:22.117] V:3.356V | I:0.589A | mAh:0.34
[2026-01-16 22:16:23.114] V:3.360V | I:0.589A | mAh:0.51
[2026-01-16 22:16:24.108] V:3.360V | I:0.589A | mAh:0.67
[2026-01-16 22:16:25.110] V:3.368V | I:0.589A | mAh:0.84
[2026-01-16 22:16:26.112] V:3.368V | I:0.589A | mAh:1.00
[2026-01-16 22:16:27.115] V:3.368V | I:0.589A | mAh:1.16
[2026-01-16 22:16:28.116] V:3.376V | I:0.588A | mAh:1.33
[2026-01-16 22:16:29.129] V:3.380V | I:0.589A | mAh:1.49
[2026-01-16 22:16:30.126] V:3.384V | I:0.589A | mAh:1.65
[2026-01-16 22:16:31.129] V:3.384V | I:0.588A | mAh:1.82
[2026-01-16 22:16:32.128] V:3.392V | I:0.588A | mAh:1.98
[2026-01-16 22:16:33.136] V:3.392V | I:0.588A | mAh:2.15
[2026-01-16 22:16:34.142] V:3.396V | I:0.588A | mAh:2.31
[2026-01-16 22:16:35.133] V:3.400V | I:0.588A | mAh:2.47
[2026-01-16 22:16:36.144] V:3.400V | I:0.588A | mAh:2.64
[2026-01-16 22:16:37.148] V:3.404V | I:0.588A | mAh:2.80
[2026-01-16 22:16:38.149] V:3.408V | I:0.588A | mAh:2.96
[2026-01-16 22:16:39.138] V:3.408V | I:0.588A | mAh:3.13
[2026-01-16 22:16:40.146] V:3.408V | I:0.588A | mAh:3.29
[2026-01-16 22:16:41.146] V:3.416V | I:0.588A | mAh:3.46
[2026-01-16 22:16:42.155] V:3.420V | I:0.588A | mAh:3.62
[2026-01-16 22:16:43.160] V:3.420V | I:0.588A | mAh:3.78
[2026-01-16 22:16:44.150] V:3.424V | I:0.588A | mAh:3.95
[2026-01-16 22:16:45.156] V:3.424V | I:0.588A | mAh:4.11
[2026-01-16 22:16:46.162] V:3.428V | I:0.587A | mAh:4.27
[2026-01-16 22:16:47.153] V:3.432V | I:0.588A | mAh:4.44
[2026-01-16 22:16:48.170] V:3.436V | I:0.588A | mAh:4.60
[2026-01-16 22:16:49.161] V:3.432V | I:0.588A | mAh:4.76
[2026-01-16 22:16:50.166] V:3.440V | I:0.587A | mAh:4.93
[2026-01-16 22:16:51.168] V:3.444V | I:0.587A | mAh:5.09
[2026-01-16 22:16:52.173] V:3.444V | I:0.587A | mAh:5.25
[2026-01-16 22:16:53.178] V:3.444V | I:0.588A | mAh:5.42
[2026-01-16 22:16:54.180] V:3.444V | I:0.587A | mAh:5.58
[2026-01-16 22:16:55.182] V:3.452V | I:0.587A | mAh:5.74
[2026-01-16 22:16:56.182] V:3.452V | I:0.587A | mAh:5.91
[2026-01-16 22:16:57.180] V:3.456V | I:0.587A | mAh:6.07
[2026-01-16 22:16:58.176] V:3.456V | I:0.587A | mAh:6.24
[2026-01-16 22:16:59.180] V:3.460V | I:0.587A | mAh:6.40
[2026-01-16 22:17:00.184] V:3.460V | I:0.587A | mAh:6.56
[2026-01-16 22:17:01.191] V:3.464V | I:0.587A | mAh:6.73
[2026-01-16 22:17:02.192] V:3.468V | I:0.587A | mAh:6.89
[2026-01-16 22:17:03.188] V:3.468V | I:0.587A | mAh:7.05
[2026-01-16 22:17:04.191] V:3.472V | I:0.587A | mAh:7.22
[2026-01-16 22:17:05.200] V:3.472V | I:0.587A | mAh:7.38
[2026-01-16 22:17:06.204] V:3.472V | I:0.587A | mAh:7.54
[2026-01-16 22:17:07.194] V:3.476V | I:0.587A | mAh:7.71
[2026-01-16 22:17:08.200] V:3.476V | I:0.587A | mAh:7.87
[2026-01-16 22:17:09.207] V:3.480V | I:0.587A | mAh:8.03
[2026-01-16 22:17:10.212] V:3.480V | I:0.587A | mAh:8.20
[2026-01-16 22:17:11.201] V:3.484V | I:0.587A | mAh:8.36
[2026-01-16 22:17:12.204] V:3.488V | I:0.586A | mAh:8.52
[2026-01-16 22:17:13.209] V:3.484V | I:0.587A | mAh:8.69
[2026-01-16 22:17:14.210] V:3.492V | I:0.587A | mAh:8.85
[2026-01-16 22:17:15.216] V:3.492V | I:0.587A | mAh:9.01
[2026-01-16 22:17:16.214] V:3.492V | I:0.586A | mAh:9.18
[2026-01-16 22:17:17.221] V:3.496V | I:0.586A | mAh:9.34
[2026-01-16 22:17:18.225] V:3.496V | I:0.586A | mAh:9.50
[2026-01-16 22:17:19.216] V:3.496V | I:0.586A | mAh:9.66
[2026-01-16 22:17:20.230] V:3.496V | I:0.586A | mAh:9.83
[2026-01-16 22:17:21.232] V:3.500V | I:0.586A | mAh:9.99
[2026-01-16 22:17:22.222] V:3.504V | I:0.586A | mAh:10.15
[2026-01-16 22:17:23.228] V:3.504V | I:0.586A | mAh:10.32
[2026-01-16 22:17:24.231] V:3.504V | I:0.586A | mAh:10.48
[2026-01-16 22:17:25.237] V:3.508V | I:0.586A | mAh:10.64
[2026-01-16 22:17:26.242] V:3.512V | I:0.586A | mAh:10.81
[2026-01-16 22:17:27.245] V:3.512V | I:0.586A | mAh:10.97
[2026-01-16 22:17:28.248] V:3.508V | I:0.586A | mAh:11.13
[2026-01-16 22:17:29.240] V:3.512V | I:0.586A | mAh:11.30
[2026-01-16 22:17:30.244] V:3.516V | I:0.586A | mAh:11.46
[2026-01-16 22:17:31.248] V:3.520V | I:0.586A | mAh:11.62
[2026-01-16 22:17:32.252] V:3.520V | I:0.586A | mAh:11.79
[2026-01-16 22:17:33.254] V:3.520V | I:0.586A | mAh:11.95
[2026-01-16 22:17:34.261] V:3.524V | I:0.586A | mAh:12.11
[2026-01-16 22:17:35.252] V:3.524V | I:0.586A | mAh:12.27
[2026-01-16 22:17:36.258] V:3.524V | I:0.586A | mAh:12.44
[2026-01-16 22:17:37.256] V:3.528V | I:0.586A | mAh:12.60
[2026-01-16 22:17:38.259] V:3.528V | I:0.586A | mAh:12.76
[2026-01-16 22:17:39.260] V:3.528V | I:0.586A | mAh:12.93
[2026-01-16 22:17:40.273] V:3.532V | I:0.586A | mAh:13.09
[2026-01-16 22:17:41.263] V:3.536V | I:0.586A | mAh:13.25
[2026-01-16 22:17:42.278] V:3.532V | I:0.585A | mAh:13.42
[2026-01-16 22:17:43.267] V:3.536V | I:0.585A | mAh:13.58
[2026-01-16 22:17:44.270] V:3.536V | I:0.585A | mAh:13.74
[2026-01-16 22:17:45.276] V:3.540V | I:0.586A | mAh:13.90
[2026-01-16 22:17:46.281] V:3.540V | I:0.586A | mAh:14.07
[2026-01-16 22:17:47.275] V:3.544V | I:0.586A | mAh:14.23
[2026-01-16 22:17:48.282] V:3.544V | I:0.586A | mAh:14.39
[2026-01-16 22:17:49.276] V:3.548V | I:0.586A | mAh:14.56
[2026-01-16 22:17:50.282] V:3.548V | I:0.585A | mAh:14.72
[2026-01-16 22:17:51.294] V:3.548V | I:0.585A | mAh:14.88
[2026-01-16 22:17:52.286] V:3.552V | I:0.585A | mAh:15.05
[2026-01-16 22:17:53.292] V:3.552V | I:0.585A | mAh:15.21
[2026-01-16 22:17:54.301] V:3.552V | I:0.585A | mAh:15.37
[2026-01-16 22:17:55.296] V:3.552V | I:0.585A | mAh:15.53
[2026-01-16 22:17:56.290] V:3.556V | I:0.585A | mAh:15.70
[2026-01-16 22:17:57.299] V:3.560V | I:0.585A | mAh:15.86
[2026-01-16 22:17:58.300] V:3.556V | I:0.585A | mAh:16.02
[2026-01-16 22:17:59.299] V:3.560V | I:0.585A | mAh:16.19
[2026-01-16 22:18:00.304] V:3.560V | I:0.585A | mAh:16.35
[2026-01-16 22:18:01.301] V:3.560V | I:0.585A | mAh:16.51
[2026-01-16 22:18:02.314] V:3.560V | I:0.585A | mAh:16.67
[2026-01-16 22:18:03.315] V:3.560V | I:0.585A | mAh:16.84
[2026-01-16 22:18:04.310] V:3.568V | I:0.585A | mAh:17.00
[2026-01-16 22:18:05.309] V:3.564V | I:0.585A | mAh:17.16
[2026-01-16 22:18:06.321] V:3.568V | I:0.585A | mAh:17.33
[2026-01-16 22:18:07.323] V:3.572V | I:0.585A | mAh:17.49
[2026-01-16 22:18:08.320] V:3.572V | I:0.585A | mAh:17.65
[2026-01-16 22:18:09.319] V:3.572V | I:0.585A | mAh:17.81
[2026-01-16 22:18:10.326] V:3.576V | I:0.585A | mAh:17.98
[2026-01-16 22:18:11.328] V:3.572V | I:0.585A | mAh:18.14
[2026-01-16 22:18:12.323] V:3.576V | I:0.585A | mAh:18.30
[2026-01-16 22:18:13.334] V:3.576V | I:0.585A | mAh:18.46
[2026-01-16 22:18:14.329] V:3.580V | I:0.585A | mAh:18.63
[2026-01-16 22:18:15.341] V:3.580V | I:0.585A | mAh:18.79
[2026-01-16 22:18:16.332] V:3.584V | I:0.585A | mAh:18.95
[2026-01-16 22:18:17.333] V:3.580V | I:0.585A | mAh:19.12
[2026-01-16 22:18:18.345] V:3.584V | I:0.585A | mAh:19.28
[2026-01-16 22:18:19.344] V:3.584V | I:0.585A | mAh:19.44
[2026-01-16 22:18:20.338] V:3.584V | I:0.585A | mAh:19.60
[2026-01-16 22:18:21.351] V:3.588V | I:0.585A | mAh:19.77
[2026-01-16 22:18:22.348] V:3.588V | I:0.585A | mAh:19.93
[2026-01-16 22:18:23.348] V:3.588V | I:0.585A | mAh:20.09
[2026-01-16 22:18:24.358] V:3.592V | I:0.585A | mAh:20.25
[2026-01-16 22:18:25.356] V:3.592V | I:0.585A | mAh:20.42
[2026-01-16 22:18:26.355] V:3.592V | I:0.584A | mAh:20.58
[2026-01-16 22:18:27.362] V:3.592V | I:0.584A | mAh:20.74
[2026-01-16 22:18:28.366] V:3.596V | I:0.585A | mAh:20.91
[2026-01-16 22:18:29.361] V:3.596V | I:0.584A | mAh:21.07
[2026-01-16 22:18:30.358] V:3.596V | I:0.585A | mAh:21.23
[2026-01-16 22:18:31.363] V:3.600V | I:0.584A | mAh:21.39
[2026-01-16 22:18:32.370] V:3.600V | I:0.585A | mAh:21.56
[2026-01-16 22:18:33.369] V:3.600V | I:0.584A | mAh:21.72
[2026-01-16 22:18:34.381] V:3.604V | I:0.584A | mAh:21.88
[2026-01-16 22:18:35.376] V:3.604V | I:0.584A | mAh:22.04
[2026-01-16 22:18:36.371] V:3.604V | I:0.584A | mAh:22.21
[2026-01-16 22:18:37.376] V:3.604V | I:0.584A | mAh:22.37
[2026-01-16 22:18:38.378] V:3.604V | I:0.584A | mAh:22.53
[2026-01-16 22:18:39.376] V:3.608V | I:0.584A | mAh:22.69
[2026-01-16 22:18:40.392] V:3.608V | I:0.584A | mAh:22.86
[2026-01-16 22:18:41.389] V:3.608V | I:0.584A | mAh:23.02
[2026-01-16 22:18:42.392] V:3.612V | I:0.584A | mAh:23.18
[2026-01-16 22:18:43.386] V:3.612V | I:0.584A | mAh:23.34
[2026-01-16 22:18:44.396] V:3.612V | I:0.584A | mAh:23.51
[2026-01-16 22:18:45.404] V:3.616V | I:0.584A | mAh:23.67
[2026-01-16 22:18:46.399] V:3.616V | I:0.584A | mAh:23.83
[2026-01-16 22:18:47.396] V:3.620V | I:0.584A | mAh:24.00
[2026-01-16 22:18:48.396] V:3.616V | I:0.584A | mAh:24.16
[2026-01-16 22:18:49.398] V:3.620V | I:0.584A | mAh:24.32
[2026-01-16 22:18:50.402] V:3.624V | I:0.584A | mAh:24.48
[2026-01-16 22:18:51.415] V:3.624V | I:0.583A | mAh:24.64
[2026-01-16 22:18:52.412] V:3.624V | I:0.584A | mAh:24.81
[2026-01-16 22:18:53.408] V:3.624V | I:0.584A | mAh:24.97
[2026-01-16 22:18:54.414] V:3.624V | I:0.584A | mAh:25.13
[2026-01-16 22:18:55.409] V:3.628V | I:0.584A | mAh:25.29
[2026-01-16 22:18:56.418] V:3.624V | I:0.584A | mAh:25.46
[2026-01-16 22:18:57.424] V:3.628V | I:0.584A | mAh:25.62
[2026-01-16 22:18:58.426] V:3.628V | I:0.584A | mAh:25.78
[2026-01-16 22:18:59.430] V:3.632V | I:0.584A | mAh:25.94
