[2026-01-14 01:27:14.040] V: 4.1520V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1520V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1520V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1480V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1520V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.051] V: 4.1520V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1480V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1480V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1560V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1520V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.061] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.076] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.076] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
